Week,Day,Time,Occupancy,Temperature,Action_Taken,Energy_Used_kWh
5,Monday,08:00,7,24,AC_Speed_1,1.3
5,Tuesday,09:00,8,25,AC_Speed_1_Maintain,1.4
5,Wednesday,11:00,9,26,AC_Speed_2,2.2
5,Thursday,14:00,6,27,AC_Speed_2,2.3
5,Friday,18:00,8,28,AC_Speed_3,3.1
5,Saturday,20:00,7,29,AC_Speed_3,3.3
5,Sunday,21:00,6,30,AC_Speed_3,3.4
6,Monday,08:00,8,26,AC_Speed_2,2.1
6,Tuesday,09:00,9,27,AC_Speed_2_Precool,2.4
6,Wednesday,11:00,10,28,AC_Speed_3,3.2
6,Thursday,14:00,7,29,AC_Speed_3,3.3
6,Friday,18:00,9,30,AC_Speed_3,3.5
6,Saturday,20:00,8,31,AI_Precool_19:30,2.9
6,Sunday,21:00,7,30,AI_Optimized,1.9
7,Monday,08:00,8,29,AI_Predicted,2.4
7,Tuesday,09:00,9,28,AI_Optimized,1.8
7,Wednesday,11:00,10,27,AI_Optimized,1.7
7,Thursday,14:00,7,26,AC_Speed_1_Maintain,1.3
7,Friday,18:00,9,27,AC_Speed_2,2.2
7,Saturday,20:00,8,28,AC_Speed_3,3.0
7,Sunday,21:00,7,29,AC_Speed_3,3.2
8,Monday,08:00,7,27,AC_Speed_2,2.1
8,Tuesday,09:00,8,26,AC_Speed_1,1.4
8,Wednesday,11:00,9,25,AC_Speed_1_Maintain,1.3
8,Thursday,14:00,6,24,HVAC_Off,0.0
8,Friday,18:00,8,25,AC_Speed_1,1.5
8,Saturday,20:00,7,26,AC_Speed_2,2.1
8,Sunday,21:00,6,27,AC_Speed_2,2.2
9,Monday,08:00,7,24,HVAC_Off,0.0
9,Tuesday,09:00,8,23,HVAC_Off,0.0
9,Wednesday,11:00,9,22,Heating_Low,1.4
9,Thursday,14:00,6,21,Heating_Off,0.0
9,Friday,18:00,8,20,Heating_Low,1.5
9,Saturday,20:00,7,19,Heating_Medium,2.0
9,Sunday,21:00,6,18,Heating_High,2.6
10,Monday,08:00,7,19,Heating_Medium,2.0
10,Tuesday,09:00,8,20,Heating_Low,1.5
10,Wednesday,11:00,9,21,Heating_Off,0.0
10,Thursday,14:00,6,22,HVAC_Off,0.0
10,Friday,18:00,8,21,Heating_Low,1.6
10,Saturday,20:00,7,20,Heating_Medium,2.1
10,Sunday,21:00,6,19,Heating_Medium,2.2
11,Monday,08:00,8,18,Heating_High,2.7
11,Tuesday,09:00,9,17,Heating_High,2.9
11,Wednesday,11:00,10,16,Heating_High,3.1
11,Thursday,14:00,7,17,Heating_Medium,2.3
11,Friday,18:00,9,18,Heating_Medium,2.2
11,Saturday,20:00,8,19,Heating_Low,1.6
11,Sunday,21:00,7,20,Heating_Low,1.5
12,Monday,08:00,8,21,Heating_Off,0.0
12,Tuesday,09:00,9,22,HVAC_Off,0.0
12,Wednesday,11:00,10,23,HVAC_Off,0.0
12,Thursday,14:00,7,24,AC_Speed_1,1.2
12,Friday,18:00,9,25,AC_Speed_1,1.4
12,Saturday,20:00,8,26,AC_Speed_2,2.2
12,Sunday,21:00,7,27,AC_Speed_2,2.3
